MOF Identifier v1 (SMILES + Metadata),Largest Cavity Diameter (Ã…),Pore Limiting Diameter (Ã…),Largest Free Path Diameter (Ã…),Crystal Density (g/cm3),Pore Volume (A3),Void Fraction,Pore Volume (cm3/g),Metal Types,Heat Capacity at 300 K (J/g/K),Heat Capacity Std. Dev. at 300 K (J/g/K),Heat Capacity at 350 K (J/g/K),Heat Capacity Std. Dev. at 350 K (J/g/K),Heat Capacity at 400 K (J/g/K),Heat Capacity Std. Dev. at 400 K (J/g/K),Heat Capacity Temperature Coefficient (J/g/K/K),Heat Capacity Intercept (J/g/K),Number of Atoms,Thermal Stability (â„ƒ),Solvent Stability,Water Stability,KH Classes
[O-]C(=O)c1ccc(cc1)c1cc2c(cc1c1ccc(cc1)C(=O)[O-])c1cc(c3ccc(cc3)C(=O)[O-])c(cc1c1c2cc(c2ccc(cc2)C(=O)[O-])c(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,13.22909,5.54535,13.22909,0.833978,24359.5,0.6874,0.824242,Zr,0.806486273,0.02338383,0.881665697,0.041728294,0.946145516,0.05216951,0.001396592,0.389291812,1432,373.2,0.7670455,0.97,none
[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-].[Zn][Zn].n1ccc(cc1)OCC(COc1ccncc1)(COc1ccncc1)COc1ccncc1,3.21704,2.44664,3.21645,1.43499,1527,0.4222,0.294217,Zn,0.897625872,0.033213443,1.024599165,0.046580531,1.085502984,0.063086289,0.001878771,0.345006122,298,394.2,0.618411,0.584076923,superweak
[In].[O-]C(=O)c1ccc(cc1)C#Cc1c2ccccc2c(c2c1cccc2)C#Cc1ccc(cc1)C(=O)[O-].[O],6.12588,5.63641,6.12588,1.14337,933.717,0.54,0.472287,In,0.837208214,0.030762313,0.933264987,0.058856644,0.99019385,0.071931598,0.001529856,0.384772621,108,330.9,0.4607978,0.797104072,superstrong_high_loading
[Mg].[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-],11.62878,10.82918,11.62878,0.910088,872.578,0.6568,0.721688,Mg,0.816077595,0.02779412,0.977874194,0.020028374,1.051534304,0.028419729,0.002354567,0.124396883,54,430.4,0.69754934,0.2,strong
[Mg].[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-],11.79429,10.71838,11.79358,0.912446,5180.59,0.6516,0.714124,Mg,0.816458459,0.02688509,0.978489169,0.020097477,1.052877702,0.027930777,0.002364192,0.12180776,324,420.5,0.7883661,0.09,strong_high_loading
[Mg].[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-],11.57367,10.78479,11.57367,0.929735,850.238,0.6538,0.703211,Mg,0.81906766,0.026546629,0.979602183,0.020436941,1.053906951,0.027927926,0.002348393,0.128921414,54,432.3,0.6840771,0.2,strong
[Co].[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-],11.42442,10.86245,11.42442,1.17375,850.029,0.642,0.546964,Co,0.706711622,0.006690796,0.781273269,0.013812546,0.832805681,0.016265535,0.001260941,0.332267651,54,230.4,0.9368019,0.180285714,weak
[Co].[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-],11.31681,10.86182,11.31617,1.18734,838.732,0.6408,0.539695,Co,0.709648722,0.006910218,0.783512559,0.013817209,0.835317982,0.016012371,0.001256693,0.336317342,54,230.6,0.9354308,0.180285714,weak
[Ni].[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-],11.61966,10.85724,11.61966,1.19871,844.77,0.6526,0.544418,Ni,0.7016782,0.009304289,0.776575549,0.013470982,0.826442283,0.017319132,0.001247641,0.331557721,54,323.9,0.9353369,0.444042328,weak
[Ni].[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-],9.15112,3.85127,9.15112,1.42689,1394.41,0.5346,0.374661,Ni,0.797974718,0.020889435,0.900484868,0.024611263,0.961890245,0.024890737,0.001639155,0.313078935,168,233.5,0.95792305,0.708666667,weak
[Ni].[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-],11.54467,10.75662,11.54467,1.20772,836.153,0.6508,0.538864,Ni,0.702325004,0.010301301,0.771920761,0.013845075,0.822923803,0.018224271,0.001205988,0.343627395,54,325.3,0.93412477,0.444042328,weak
[La].[O-][n+]1ccc(cc1)C(=O)[O-],4.5927,3.82984,4.55891,1.63094,882.163,0.454,0.278367,La,0.738011511,0.016906183,0.815533801,0.036787438,0.855292662,0.043382386,0.001172811,0.392461968,132,365,0.38004228,0.89962963,weak
[Nd].[O-][n+]1ccc(cc1)C(=O)[O-],4.77313,3.82049,4.75915,1.65695,883.437,0.4568,0.275687,Nd,0.722753335,0.018278217,0.803244313,0.03857594,0.842451423,0.044482735,0.001196981,0.370539713,132,362.3,0.36640453,0.86962963,strong
[Lu].[O-][n+]1ccc(cc1)C(=O)[O-],4.77627,3.78793,4.76976,1.83876,831.591,0.4486,0.243969,Lu,0.674790663,0.018738475,0.748187614,0.037579076,0.787846678,0.042950666,0.00113056,0.341245599,132,350.8,0.38430324,0.65,weak
[La].[O-][n+]1ccc(cc1)C(=O)[O-],4.50005,3.66343,4.49205,1.65025,853.792,0.4446,0.269414,La,0.737440022,0.01725623,0.821703846,0.036529892,0.857811669,0.042742917,0.001203716,0.384351077,132,344.7,0.60322773,0.79962963,strong
[Dy].[O-][n+]1ccc(cc1)C(=O)[O-],4.38092,3.53647,4.37707,1.84481,771.227,0.4278,0.231893,Dy,0.692870545,0.01859112,0.7683722,0.037864378,0.809539547,0.042609201,0.00116669,0.348585924,132,372.3,0.44408596,0.76,strong
[Lu].[O-][n+]1ccc(cc1)C(=O)[O-],4.40729,3.54257,4.35095,1.90166,774.329,0.432,0.22717,Lu,0.674624901,0.018717323,0.74757889,0.037193482,0.78827682,0.04149754,0.001136519,0.339045152,132,346,0.5058015,0.64,strong
[Nd].[O-][n+]1ccc(cc1)C(=O)[O-],4.43748,3.62609,4.43354,1.7168,792.911,0.4248,0.247437,Nd,0.721648437,0.017693569,0.801096749,0.037927194,0.841837313,0.044696106,0.001201889,0.367533101,132,350.1,0.62468296,0.81962963,weak
[Co]O[Co].[O-]C(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)[O-])N1[N]C=N[CH]1.n1ccc(cc1)c1ccncc1,9.90886,6.495,9.90886,0.766859,8142.67,0.672,0.876302,Co,0.910999683,0.035094476,1.01420325,0.066617522,1.068231563,0.074322193,0.001572319,0.447499921,558,360.8,0.761639,0.746666667,weak
[Co].[Co][Co].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],7.27861,5.1706,7.25898,0.938994,3061.3,0.6458,0.687757,Co,0.810739589,0.014726142,0.902250768,0.036801283,0.951933987,0.045420169,0.001411944,0.394127723,200,341.8,0.80769855,0.669285714,strong
unknown,13.8077,5.81778,13.77407,0.564564,12256,0.7698,1.36353,Fe,0.854668445,0.034169095,0.935225643,0.053468019,0.998597039,0.067068965,0.001439286,0.425746967,480,368.1,0.6230474,0.44,weak
[O]c1cc(cc(c1[O])[O])C1=C2C=CC(=N2)C=c2ccc(=C(C3=NC(=Cc4[nH]c1cc4)C=C3)c1cc([O])c(c(c1)[O])[O])[nH]2.[Zr],5.14326,4.66746,5.14326,1.53864,508.54,0.366,0.237873,Zr,0.836812615,0.007950926,0.971181868,0.007127869,1.087908603,0.005335577,0.00251096,0.086465072,118,370.6,0.9320804,0.65,strong
[O-]C(=O)c1cc(OCc2ccc(cc2)C(=O)[O-])cc(c1)OCc1ccc(cc1)C(=O)[O-].[OH].[Zn],7.23448,6.45356,7.23448,1.3658,1322.27,0.4794,0.351004,Zn,0.858531925,0.025156031,0.957253367,0.052417385,1.014543028,0.061195799,0.001560111,0.397403917,200,391.7,0.19375464,0.59,strong
unknown,4.97041,4.59756,4.96557,1.48054,832.923,0.3822,0.258149,Zn,0.917826655,0.033377587,1.037432382,0.045228462,1.112312278,0.054995781,0.001944856,0.34182409,192,unknown,unknown,unknown,weak
[O-]C(=O)CN(CC(=O)[O-])CCCN(CC(=O)[O-])CC(=O)[O-].[OH2][La],4.2387,3.0724,4.03618,1.62617,1605.4,0.428,0.263196,La,0.843858876,0.031555971,0.926790632,0.030016643,0.995845969,0.027404055,0.001519871,0.390210333,312,366.9,0.8572078,0.71,none
[Ce].[O-]C(=O)CN(CC(=O)[O-])CCCN(CC(=O)[O-])CC(=O)[O-],4.27692,3.02408,4.07564,1.5675,1749.98,0.4668,0.297799,Ce,0.810568988,0.030105779,0.891356404,0.030244231,0.966733125,0.028802644,0.001561641,0.342978359,288,353.1,0.9310524,0.82,none
